artists,song_id,popularity,popularity_segments
"The Weeknd",00NAQYOP4AmWR549nnYJZu,71,"Very Popular"
"The Weeknd",02x8VKdgfHC383faTfQAxr,45,"Not Popular"
"The Weeknd",09mEdoA6zrmBPgTEN5qXmN,82,"Very Popular"
"The Weeknd",0a3T2HEIV4jTjhzNkM6eRx,48,"Not Popular"
"The Weeknd",0C5WrEPjUYPxVkKyth1Lbz,54,Popular
"The Weeknd",0cAHXlLhQjSKDN6vjc4LD6,53,Popular
"The Weeknd",0d2nqd8iWUX0BpLo6Lg2C8,43,"Not Popular"
"The Weeknd",0dcf0L6F1LUA1nE2zWH4J2,59,Popular
"The Weeknd",0ei3uNcwJOiUocuks1vWcb,59,Popular
"The Weeknd",0ifooM33X1iBxVYyOkSbXW,67,Popular
"The Weeknd",0Nwar8rweBUyfyuoyjjUvk,68,Popular
"The Weeknd",0p3sSUXDohjddeKlnvGbCD,55,Popular
"The Weeknd",0VjIjW4GlUZAMYd2vXMi3b,100,"Very Popular"
"The Weeknd",0zzc5kYkzTmWmwrn3CTk5v,65,Popular
"The Weeknd",131D82JKDf853plcJlXC3R,43,"Not Popular"
"The Weeknd",15k2nBQJ0teDmPZHrOXL2N,66,Popular
"The Weeknd",1FJrsh1NbV9eRw5JQt3M4e,61,Popular
"The Weeknd",1fWHv2gMrEGfBnBvio4yEp,51,Popular
"The Weeknd",1oGdVdYjeQvojGKDddxLQQ,69,Popular
"The Weeknd",1sOW4PuG5X3Ie3EXUhAopJ,76,"Very Popular"
"The Weeknd",1yhDPgIPGoe3Bf8wRsK4u7,53,Popular
"The Weeknd",249E7AgSyA4vhtXNEjQYb5,47,"Not Popular"
"The Weeknd",27BgDmciSjoxTG0almHTpZ,65,Popular
"The Weeknd",29fTi7Tdh9CiU8HuVDaqVY,56,Popular
"The Weeknd",2BcnxwxBuar5wjCaLqm5N3,72,"Very Popular"
"The Weeknd",2Ch7LmS7r2Gy2kc64wv3Bz,77,"Very Popular"
"The Weeknd",2K9Ovn1o2bTGqbsABGC6m3,75,"Very Popular"
"The Weeknd",2LBqCSwhJGcFQeTHMVGwy3,66,Popular
"The Weeknd",2p8IUWQDrpjuFltbdgLOag,84,"Very Popular"
"The Weeknd",2PIvq1pGrUjY007X5y1UpM,78,"Very Popular"
"The Weeknd",2QIbiBkgr2pepvCkmWi3Vn,65,Popular
"The Weeknd",31bmr5SE0qrrIPhjGbnwKP,66,Popular
"The Weeknd",323ujVhfSg16TlRK0PB5JY,55,Popular
"The Weeknd",36YCdzT57us0LhDmCYtrNE,68,Popular
"The Weeknd",37F0uwRSrdzkBiuj0D5UHI,73,"Very Popular"
"The Weeknd",38uNCW1do0LKfMIt4MDkPo,74,"Very Popular"
"The Weeknd",3D7izPzeEcz7lBhcCZJccl,51,Popular
"The Weeknd",3DpeUhOXKCf2Qwy8KMtWSy,43,"Not Popular"
"The Weeknd",3H37ijjdmKz0dQLgUGzpjx,52,Popular
"The Weeknd",3hDnFYwpnY0wONZDkYxUsj,52,Popular
"The Weeknd",3orEOtd8CPL8GFlpRpKuoE,75,"Very Popular"
"The Weeknd",3PjV4RnfKc42S1wmJKM11G,47,"Not Popular"
"The Weeknd",3PsS445MHcmtroGTstfTbm,56,Popular
"The Weeknd",3sk0k4PXonU7K2N4S6FHXF,46,"Not Popular"
"The Weeknd",3vFj4xuQTXHOuo6L0qGafv,53,Popular
"The Weeknd",3WKYPmiPpJas9j5Aari5iK,59,Popular
"The Weeknd",3WlbeuhfRSqU7ylK2Ui5U7,74,"Very Popular"
"The Weeknd",3XnkZylcAZ86QAiGVnRVy8,66,Popular
"The Weeknd",40U8d12pC5UHqmHwXjHjjl,72,"Very Popular"
"The Weeknd",4BGZF4oLbTL0pWm7C18pbv,76,"Very Popular"
"The Weeknd",4F7A0DXBrmUAkp32uenhZt,73,"Very Popular"
"The Weeknd",4fiYSa6ln7h0scprgNEs0g,53,Popular
"The Weeknd",4fLnXd56RsWN4ZBtb9TegQ,61,Popular
"The Weeknd",4JQpghvT0ZH2WLRqzlPUC7,48,"Not Popular"
"The Weeknd",4m0KaNb0ClCOvgThd2Gv2b,55,Popular
"The Weeknd",4mU5iXHeLgbR94siF7p1sY,68,Popular
"The Weeknd",4oeaIftdpT3JuZLcCkKmVE,69,Popular
"The Weeknd",4pHQ9RYFhn3W0ha5KEuMnj,52,Popular
"The Weeknd",4PouRT4KlI9TRHp45uMqdO,52,Popular
"The Weeknd",4ppTAJUbNXELZcoUaL90wo,72,"Very Popular"
"The Weeknd",4q66GCtQ5bFPXljPsQ4FcR,44,"Not Popular"
"The Weeknd",4yzaniwZb01bp0gT5BYwBv,54,Popular
"The Weeknd",50iiDJGpAPdr2VTrz999XA,61,Popular
"The Weeknd",51LmI5GE3tHKISLNZMjDPC,54,Popular
"The Weeknd",57EfhTf4Y66rO4rIJWRJGY,46,"Not Popular"
"The Weeknd",57qiTKh8bVX0VtfUNTQqhw,65,Popular
"The Weeknd",5aFoXADqE288FAlbXYmcy6,65,Popular
"The Weeknd",5ciyqWW5YuGqF4Avu7uwry,74,"Very Popular"
"The Weeknd",5dikapPlQPrsT3xUsUjj0N,56,Popular
"The Weeknd",5fohLPNqO6TqwrZ7BoUWUT,68,Popular
"The Weeknd",5idmfDT06TjCQ1SPDsa5qh,54,Popular
"The Weeknd",5oAOK7xCJD8hzp9PuxjULL,52,Popular
"The Weeknd",5QO79kh1waicV47BqGRL3g,81,"Very Popular"
"The Weeknd",5Sg09MvHqNWPWsYeuY2toY,67,Popular
"The Weeknd",5ZicFGBDAi9J2YCVesboUp,59,Popular
"The Weeknd",6AirEKLAv80bFaIDKpMi7I,56,Popular
"The Weeknd",6b5P51m8xx2XA6U7sdNZ5E,75,"Very Popular"
"The Weeknd",6bnF93Rx87YqUBLSgjiMU8,84,"Very Popular"
"The Weeknd",6fRgjqJptZry7fipP2Beyh,56,Popular
"The Weeknd",6kWxIqQDsKFYCJGbU4AjCX,76,"Very Popular"
"The Weeknd",6nNr7G34ZmUpyIiYWpQzgP,43,"Not Popular"
"The Weeknd",6pDVjCUA3B1vg9waKutAsv,66,Popular
"The Weeknd",6rhbL6MhAej39S8KupwjrC,71,"Very Popular"
"The Weeknd",6Rqe6ghJ6t9SlQ2pRrt5tI,53,Popular
"The Weeknd",6t5zloC7h0EQllwYph9brV,66,Popular
"The Weeknd",6u0dQik0aif7FQlrhycG1L,70,"Very Popular"
"The Weeknd",6V9TlCdwLeQes4FX5zxz3f,53,Popular
"The Weeknd",6VwBbL8CzPiC4QV66ay7oR,73,"Very Popular"
"The Weeknd",7DKS0rX27cCEPsK0R6tFWS,72,"Very Popular"
"The Weeknd",7eZ7ODAt9cALYnWLO8F6Fd,63,Popular
"The Weeknd",7GgfQ0edpSP6C7xnX3Y2df,47,"Not Popular"
"The Weeknd",7IpDQcksaT8SxS7vOX4SRm,65,Popular
"The Weeknd",7jGr8wzgwOVLuktY66qM5f,51,Popular
"The Weeknd",7szuecWAPwGoV1e5vGu8tl,91,"Very Popular"
"The Weeknd",7xqANDRz8JFxkwfY65WISy,63,Popular
